hip,ra,dec,Vmag
3,0.00502431,38.85927901,6.61
19,0.05330922,38.30404973,6.53
25,0.07956353,-44.29056147,6.28
34,0.09958476,26.91810825,6.43
43,0.12870233,59.55967936,6.18
50,0.14308505,-53.09771264,6.49
63,0.18180951,45.25333358,6.36
73,0.22032873,66.84801108,6.9
88,0.26909344,-48.8098756,5.71
106,0.33021487,49.98155781,6.22
107,0.33383021,-50.33737333,5.53
119,0.39016602,44.67540116,6.82
121,0.39642463,28.42369128,6.83
122,0.39876554,-77.06572447,4.78
124,0.40423123,61.2228008,5.58
128,0.41441548,73.6118466,6.5
133,0.42347606,-40.14870204,6.62
136,0.42869158,24.25311272,6.6
137,0.43270606,42.36714391,6.25
145,0.45603512,-3.02750382,5.13
154,0.490079,-6.01407212,4.37
159,0.51090686,-2.76617076,6.93
171,0.54231321,27.08225603,5.8
179,0.56951496,-13.40743745,6.9
181,0.57377241,60.70316774,6.77
183,0.58300278,-29.72041402,5.04
186,0.60069578,8.95682361,6.33
194,0.62375948,8.48546309,5.7
207,0.65036241,66.09896618,5.87
238,0.73953381,-20.04588213,6.25
253,0.78273045,-24.14514551,6.46
254,0.78477808,42.74790772,6.73
258,0.80547707,17.55226848,6.59
274,0.85713616,63.64051986,6.24
277,0.85949749,-36.25119274,6.96
297,0.92435158,48.43690676,6.8
301,0.93495762,-17.33598771,4.55
302,0.96516239,66.71218292,6.31
330,1.05692695,62.2876637,5.9
343,1.08247517,-16.52903618,5.78
345,1.08465585,-29.2688217,6.38
355,1.12549376,-10.5095233,4.99
365,1.15244468,42.09253054,6.11
377,1.17211746,-71.43689145,5.59
379,1.17492163,67.16644546,5.68
394,1.22400057,34.65979682,6.09
398,1.22906908,58.53216653,6.61
399,1.23333543,26.64876429,6.25
410,1.25495522,27.67478382,6.47
417,1.26592816,-0.50303549,6.32
418,1.27562467,61.31397012,5.8
424,1.29065918,45.2290293,6.71
432,1.30418762,35.57101204,6.88
441,1.33319591,-38.85715225,6.93
443,1.33392048,-5.7076182,4.61
448,1.34266278,3.60609178,6.91
458,1.36767632,-7.66542028,6.97
472,1.41553563,55.70989788,6.99
476,1.42483879,13.39626645,5.55
496,1.48638093,24.5690046,6.9
502,1.50222842,28.27694911,6.62
508,1.51772224,40.41853013,6.65
518,1.56589255,58.43673285,5.98
522,1.57989765,-49.07519111,5.7
525,1.58420043,40.89874554,6.93
531,1.61058271,64.19616861,5.57
540,1.64808388,28.55340396,6.68
544,1.65326652,29.02150171,6.07
560,1.70869275,-23.10753988,6.19
567,1.72203422,-38.87766756,6.91
602,1.82611113,-17.38698966,6.2
619,1.8965934,31.66900064,6.87
626,1.90800965,40.14795368,6.73
631,1.92066392,-65.93242753,6.83
635,1.93380486,-2.54867948,6.43
636,1.94541637,-22.50855978,5.93
655,2.0145307,-33.52932605,5.67
664,2.05040062,-2.44771079,6.18
671,2.07305222,-8.82411211,5.99
677,2.09691071,29.09043199,2.07
695,2.13689902,63.20404041,6.41
696,2.13957031,-17.57815508,6.11
699,2.1705757,36.62712509,6.21
714,2.20834896,40.49454927,6.82
716,2.21723556,25.46298481,6.24
728,2.25067139,28.24754279,6.47
729,2.2601029,18.21196314,5.57
730,2.25997397,-54.00193122,6.32
737,2.2653089,40.84285922,6.93
746,2.29452113,59.1497796,2.28
760,2.3340655,79.71454544,6.01
761,2.33778595,-27.98792818,5.42
765,2.35267495,-45.74742618,3.88
798,2.46715583,-62.29679433,6.34
803,2.47925234,-2.56126599,6.84
813,2.50917617,11.14581307,5.54
814,2.50906524,-82.22404699,5.29
829,2.53340406,-78.30071698,6.97
840,2.57862406,-5.24858764,5.84
841,2.58019098,46.07227168,5.01
857,2.62367037,57.16549458,6.74
858,2.63499513,33.13088444,6.83
860,2.64441748,59.67340678,6.7
865,2.66064615,-73.22438924,6.66
873,2.67847777,-12.57989671,5.84
881,2.69542064,-34.86071509,6.89
902,2.78272723,57.58794136,6.68
906,2.79019421,-3.32138885,6.74
910,2.81607181,-15.46797744,4.89
930,2.89341697,-27.79973666,5.41
932,2.89718436,-18.600657,6.93
950,2.93336928,-35.13311958,5.24
966,2.98356939,-42.17214423,6.53
967,2.9961879,48.15239646,6.18
969,3.00573047,23.47174939,6.58
973,3.01258669,-13.81317915,6.56
981,3.03370206,53.62388777,6.87
983,3.04160825,-17.93827767,5.29
1009,3.14235425,44.70719512,6.5
1026,3.20017906,46.09540496,6.63
1030,3.20935326,37.69365645,6.71
1046,3.26632082,-22.47017326,6.66
1057,3.28959755,16.92145623,6.52
1063,3.30304253,62.04087815,6.63
1067,3.30897012,15.1835959,2.83
1074,3.33175776,-84.99397839,5.78
1076,3.34967881,26.98754547,6.24
1086,3.37850157,41.03536964,5.71
1096,3.42602016,-26.02234535,5.94
1099,3.4349061,-26.28495899,6.14
1101,3.43786611,-48.68418722,6.97
1102,3.43957713,-23.21478375,6.86
1107,3.44823143,1.38358589,6.79
1118,3.4841418,59.99931868,6.91
1123,3.50950466,33.20603919,6.22
1126,3.51736898,-74.91200177,6.97
1140,3.56128143,-55.0696617,6.66
1146,3.58673068,-62.77195152,6.63
1147,3.58666748,-21.19696207,6.89
1158,3.61511753,-7.7805321,5.13
1161,3.61676102,-14.43178506,6.95
1164,3.64056888,41.03264235,6.68
1168,3.65068528,20.20670177,4.79
1170,3.66006652,-18.93286561,4.44
1176,3.66859618,-14.80523972,6.63
1185,3.70087305,-14.17769899,6.82
1191,3.72714477,-9.56957107,5.77
1192,3.73234416,-3.0274124,6.64
1193,3.73291262,22.28422511,6.25
1195,3.74275886,-34.90422288,6.17
1196,3.74516393,8.82096213,6.02
1208,3.77895988,31.53572466,6.34
1215,3.79401779,27.28343979,6.35
1233,3.82430324,44.20339681,6.76
1249,3.91094493,5.84384718,6.98
1269,3.97852674,61.00017237,6.43
1268,3.97872374,-75.9116153,6.49
1288,4.03694261,-31.4463941,5.66
1292,4.05282292,-79.85118159,6.59
1296,4.05806563,76.95075506,6.35
1302,4.08970517,43.59504921,6.12
1319,4.14183649,8.24015427,6.12
1325,4.16426196,1.85060694,6.98
1330,4.17526754,-32.68843529,6.67
1331,4.17643017,-20.21006086,6.5
1333,4.17927056,36.62981249,6.99
1339,4.19032459,10.24477797,6.51
1342,4.20157391,-78.78015363,6.78
1349,4.22456152,-52.65114872,6.84
1352,4.22482428,49.46191488,6.52
1353,4.22916178,23.25619334,6.95
1354,4.23768117,61.53318556,5.74
1366,4.27290947,38.68163564,4.61
1372,4.28768216,47.9474053,5.86
1392,4.35228283,8.87651746,6.66
1402,4.38626266,-19.05109159,6.46
1415,4.42942381,51.43309028,6.11
1421,4.44874114,1.68872709,6.19
1429,4.46350506,20.22699418,6.91
1439,4.48460751,12.77146612,6.54
1444,4.49529558,-13.45564033,6.51
1456,4.53840084,46.21431265,6.83
1464,4.57061646,-21.1384598,6.69
1465,4.5718574,11.20621385,6.07
1469,4.57678643,-36.5098839,6.67
1473,4.5819037,36.78522405,4.51
1486,4.61991838,62.20277496,6.97
1493,4.65940621,31.51722681,5.88
1499,4.67444862,-8.05300142,6.47
1501,4.67570361,43.7911412,6.1
1502,4.67734231,-43.23557065,6.33
1562,4.8569773,-8.82392145,3.56
1575,4.92316566,40.72946069,6.35
1587,4.96197947,-2.47888328,6.96
1595,4.98448197,16.25087103,6.6
1598,5.0017023,38.22739687,6.97
1599,5.01775052,-64.87479041,4.23
1600,5.01230423,-17.70043356,6.73
1602,5.02109822,6.29264823,6.81
1603,5.02152617,48.86544902,6.53
1611,5.04396835,-13.06146223,6.85
1630,5.10167651,30.93561358,5.89
1639,5.1288706,48.96863284,6.46
1644,5.14233794,56.556923,6.73
1645,5.1494233,8.19027134,5.38
1647,5.16265059,-69.6249131,5.5
1652,5.18150364,61.87959532,6.8
1657,5.18965919,32.91118651,5.79
1660,5.20241466,-23.63022298,6.78
1669,5.22552106,32.97800554,6.9
1670,5.22746381,10.9769012,6.57
1684,5.26782971,-2.90959901,6.92
