center,target,cfx,cfy,cfz
0,10,17733596.276672706,-47791213.51167187,-27378949.380150694
0,10,-512989821.69772744,23092389.624517307,65480749.69175262
0,10,29817961.524542987,-79836726.98518452,-45733733.2871381
0,10,-353835176.85841566,16081258.922138633,45217276.81336717
0,10,13874034.434664117,-38685247.93858631,-22113715.81983307
0,10,-94920442.58777751,3829764.7528271484,11923944.678989502
0,10,-4967040.947865409,12527761.464868346,7223054.000316608
0,10,167411646.25954098,-7802424.213341406,-21490809.879333735
0,10,-20936555.388431683,54741661.22988312,31399772.647321295
0,10,337564509.7796365,-15507264.81571994,-43259559.13463553
0,10,-27596903.793701865,72324707.60861926,41486392.91235825
0,10,358286315.6172812,-16310208.252503783,-45880552.20327366
0,10,-23161676.436696127,59606530.23704966,34279672.25384942
0,10,232692711.0133507,-10691865.115376482,-29789869.59407881
0,10,-9341545.722851712,24799469.975705232,14207231.215555666
0,10,18228884.42499656,-720050.2626614503,-2285649.7079337803
0,10,7368490.5932766935,-18479348.681670155,-10631990.96316047
0,10,-190491139.48382044,8922780.593913076,24505398.48790492
0,10,20283919.87502295,-50862309.049886376,-29279848.03302466
0,10,-305372380.9390587,14343174.706084149,39300264.2047492
0,10,23870795.65942841,-58975230.056865595,-33987800.549455896
0,10,-277244292.1467046,13177221.39084161,35763759.250783585
0,10,16545101.768291192,-39127767.58588772,-22624020.99810081
0,10,-116617121.88721016,5848196.346718171,15206489.100704925
0,10,1139492.5982220129,676563.6718871351,243132.69450235658
0,10,110808448.80109787,-4678132.107621356,-13979527.928920481
0,10,-16165099.748099541,44057462.508534215,25215313.81066868
0,10,310440423.32709736,-14101433.897861471,-39696592.01248007
0,10,-28204271.66910222,72729547.0999609,41785560.381284766
0,10,397043312.24544084,-18419065.513636205,-50975819.383740075
0,10,-29789508.65688361,73995187.68588185,42626351.26245458
0,10,329195161.18007606,-15632927.079545695,-42458053.806612544
0,10,-19729285.614758566,45847429.766116284,26543889.666441146
0,10,126544660.91286793,-6514077.62014437,-16590924.604528394
0,10,-1424270.7904173518,-2038187.0344107735,-940384.8386168849
0,10,-137440527.53141996,5637424.521922232,17250945.48439407
0,10,18424641.718923032,-52058232.923761666,-29725508.72345812
0,10,-364265354.2686008,16285929.68763756,46439860.11252614
0,10,32406197.533191293,-85595692.1051899,-49095550.98736007
0,10,-469339019.27896994,21438826.670106187,60078972.11513548
0,10,35312704.08107868,-90372542.83287303,-51949795.00007091
0,10,-415415961.73281336,19229536.781975072,53312057.28508889
0,10,26196397.76790824,-65278754.28832392,-37596743.27550875
0,10,-227098685.70081323,10649236.672383523,29217671.77330092
0,10,8760992.693275025,-20733901.00280849,-11987653.039970163
0,10,19438517.917842478,-850781.8692815644,-2468474.2409054493
0,10,-10102703.667860316,25559788.110209968,14704257.983705807
0,10,227330017.16413635,-10745952.836088978,-29293430.878161043
0,10,-23050720.0610827,55751904.24476854,32179534.048580706
0,10,317954423.2438569,-15247790.253658215,-41087685.51505636
0,10,-25207715.90072651,58966741.51741162,34121343.54069485
0,10,262095125.16981426,-12810334.853312269,-33998281.997599185
0,10,-16096158.645350741,35522850.1052618,20650204.183822196
0,10,90678606.36741124,-4720411.305335199,-11916766.816431109
0,10,210168.8039808783,-3453100.0828109174,-1866342.7873184117
