source_id,plx,g,b,r,teff
44358422235136,9.558267252454172,9.365663,9.697104,8.869436,5787.84
83154862613888,15.672103956026023,9.542494,9.953431,8.964564,5201.674
132667245587072,5.737753870967776,7.4750457,8.025092,6.7722306,4929.733
250246270117248,4.800003764568492,7.408689,7.9985847,6.677944,4728.2534
261756782464128,7.383683552550599,8.914265,9.1785555,8.477908,6044.354
332469124171904,1.9900866479524288,8.631828,8.641413,8.576149,10206.073
796222512845056,1.887252394079562,7.919441,8.671028,7.077665,4520.874
997948536825216,3.288234500521389,7.9908824,8.007704,7.821712,9404.728
1066152617449600,4.473279872561656,8.25175,8.599608,7.732424,5960.9214
1213384096442112,8.635353742978161,9.265973,9.537979,8.822752,5982.834
1222626866037120,5.8656940538807385,9.067813,9.348697,8.617678,5912.046
1249152584299776,8.112836912339363,6.46286,6.954598,5.8021526,5505.401
1301929142132608,4.310796473680449,7.068493,7.7789507,6.252968,4234.8984
1564678061440128,10.635563175636374,11.449262,12.051651,10.710733,4682.449
1743000808216320,8.456994300187338,9.690047,9.988975,9.223375,5826.376
1753553543188992,4.017941960688069,8.163041,8.197672,8.071199,9982.799
2015099871749760,3.3999269413063447,8.698312,8.814239,8.4731,7987.0767
2058736739430272,11.645760038670751,6.8555465,6.9935393,6.598495,7192.2485
2077600235810048,6.447770292177766,7.5093226,7.70787,7.158277,6656.07
2343922567844736,6.2463317869214725,10.636546,10.9564495,10.157648,5756.9966
2469644850602624,5.61952320102081,9.622087,9.918122,9.154143,5818.8833
2543861884981632,3.638402719679162,8.123917,8.102146,8.035763,9987.063
2761084151394944,7.910022033925035,9.082378,9.297513,8.714495,6488.4355
2864197726199296,8.971552355920789,8.818822,9.179065,8.283852,5830.894
2891749941058560,8.759652912095136,9.705611,9.992639,9.250219,5891.369
3059945155636992,7.013066632873181,7.9459133,8.059867,7.718421,7528.191
3188656735589888,4.089860119465523,7.6863976,8.142527,7.059918,5031.438
3245105490185216,10.52360970561566,9.180765,9.474888,8.708791,5782.8916
3383957488516736,3.3157118620685067,9.754246,9.986596,9.362047,6553.798
3403714338071168,7.837525751273321,9.786938,10.067539,9.343149,5964.535
3613338806381824,3.202610087510944,8.133019,8.69009,7.410765,4998.2114
3665501184671104,7.3383728456276405,5.6009407,5.5436416,5.6853104,12680.77
3763770036361856,4.383149966696196,10.797557,11.079257,10.3542595,5950.5176
3853139716004736,4.56276451300903,9.55258,9.784702,9.162531,6631.815
3876366899115904,6.842309161055827,11.299913,11.67488,10.754559,5339.041
